asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at,kalshi_outcome,polymarket_outcome,payout,profit,settled_at
ETH,KXETH15M-26SEP091845-45,eth-updown-15m-1788993900,A,2026-09-09T22:45:00+00:00,2026-09-09T22:45:00Z,0.631,0.631,1.35,2026-09-09T22:45:17.175304+00:00,up,down,0.0,-0.631,2026-09-09T23:03:17.560748+00:00
ETH,KXETH15M-26SEP091900-00,eth-updown-15m-1788994800,B,2026-09-09T23:00:00+00:00,2026-09-09T23:00:00Z,0.321,1.67,0.321,2026-09-09T23:00:21.531432+00:00,down,up,0.0,-0.321,2026-09-09T23:18:35.410998+00:00
BTC,KXBTC15M-26SEP091915-15,btc-updown-15m-1788995700,A,2026-09-09T23:15:00+00:00,2026-09-09T23:15:00Z,0.441,0.441,1.55,2026-09-09T23:15:21.415442+00:00,up,up,1.0,0.559,2026-09-09T23:35:32.010919+00:00
ETH,KXETH15M-26SEP091930-30,eth-updown-15m-1788995700,A,2026-09-09T23:15:00+00:00,2026-09-09T23:30:00Z,0.79,0.79,1.21,2026-09-09T23:22:54.852924+00:00,up,up,1.0,0.21,2026-09-09T23:38:43.431596+00:00
ETH,KXETH15M-26SEP091945-45,eth-updown-15m-1788997500,A,2026-09-09T23:45:00+00:00,2026-09-09T23:45:00Z,0.481,0.481,1.51,2026-09-09T23:45:18.847425+00:00,up,up,1.0,0.519,2026-09-10T00:15:18.989295+00:00
BTC,KXBTC15M-26SEP091945-45,btc-updown-15m-1788997500,A,2026-09-09T23:45:00+00:00,2026-09-09T23:45:00Z,0.501,0.501,1.49,2026-09-09T23:45:18.847425+00:00,up,up,1.0,0.499,2026-09-10T00:16:04.654372+00:00
ETH,KXETH15M-26SEP092000-00,eth-updown-15m-1788998400,A,2026-09-10T00:00:00+00:00,2026-09-10T00:00:00Z,0.541,0.541,1.45,2026-09-10T00:00:24.248961+00:00,up,up,1.0,0.459,2026-09-10T00:22:38.327016+00:00
ETH,KXETH15M-26SEP092015-15,eth-updown-15m-1788998400,A,2026-09-10T00:00:00+00:00,2026-09-10T00:15:00Z,0.62,0.62,1.35,2026-09-10T00:13:18.845666+00:00,up,up,1.0,0.38,2026-09-10T00:22:38.327016+00:00
BTC,KXBTC15M-26SEP092015-15,btc-updown-15m-1788998400,A,2026-09-10T00:00:00+00:00,2026-09-10T00:15:00Z,0.79,0.79,1.21,2026-09-10T00:07:04.294409+00:00,up,up,1.0,0.21,2026-09-10T00:24:16.947850+00:00
BTC,KXBTC15M-26SEP092030-30,btc-updown-15m-1788999300,B,2026-09-10T00:15:00+00:00,2026-09-10T00:30:00Z,0.75,1.25,0.75,2026-09-10T00:23:35.104745+00:00,up,up,1.0,0.25,2026-09-10T00:45:23.128570+00:00
ETH,KXETH15M-26SEP092030-30,eth-updown-15m-1788999300,B,2026-09-10T00:15:00+00:00,2026-09-10T00:30:00Z,0.552,1.446,0.552,2026-09-10T00:23:35.104745+00:00,up,up,1.0,0.448,2026-09-10T00:47:56.454219+00:00
BTC,KXBTC15M-26SEP092045-45,btc-updown-15m-1789000200,B,2026-09-10T00:30:00+00:00,2026-09-10T00:45:00Z,0.75,1.25,0.75,2026-09-10T00:34:12.797388+00:00,down,down,1.0,0.25,2026-09-10T00:56:05.772790+00:00
BTC,KXBTC15M-26SEP091515-15,btc-updown-15m-1788980400,B,2026-09-09T19:00:00+00:00,2026-09-09T19:15:00Z,0.76,1.24,0.76,2026-09-09T19:12:56.272235+00:00,up,up,1.0,0.24,2026-09-10T01:00:31.058163+00:00
ETH,KXETH15M-26SEP092045-45,eth-updown-15m-1789000200,A,2026-09-10T00:30:00+00:00,2026-09-10T00:45:00Z,0.66,0.66,1.34,2026-09-10T00:39:45.042518+00:00,down,down,1.0,0.34,2026-09-10T01:03:13.647787+00:00
ETH,KXETH15M-26SEP092100-00,eth-updown-15m-1789001100,B,2026-09-10T00:45:00+00:00,2026-09-10T01:00:00Z,0.76,1.24,0.76,2026-09-10T00:47:06.305563+00:00,up,up,1.0,0.24,2026-09-10T01:05:44.407922+00:00
BTC,KXBTC15M-26SEP092100-00,btc-updown-15m-1789001100,B,2026-09-10T00:45:00+00:00,2026-09-10T01:00:00Z,0.79,1.12,0.79,2026-09-10T00:51:24.137127+00:00,up,up,1.0,0.21,2026-09-10T01:06:50.557987+00:00
ETH,KXETH15M-26SEP092115-15,eth-updown-15m-1789002000,B,2026-09-10T01:00:00+00:00,2026-09-10T01:15:00Z,0.79,1.21,0.79,2026-09-10T01:01:13.981024+00:00,up,up,1.0,0.21,2026-09-10T01:22:43.701097+00:00
ETH,KXETH15M-26SEP091515-15,eth-updown-15m-1788980400,B,2026-09-09T19:00:00+00:00,2026-09-09T19:15:00Z,0.79,1.21,0.79,2026-09-09T19:00:47.392002+00:00,down,down,1.0,0.21,2026-09-10T01:26:23.808328+00:00
ETH,KXETH15M-26SEP092130-30,eth-updown-15m-1789002900,B,2026-09-10T01:15:00+00:00,2026-09-10T01:30:00Z,0.7,1.3,0.7,2026-09-10T01:19:38.227238+00:00,down,down,1.0,0.3,2026-09-10T01:32:51.397448+00:00
ETH,KXETH15M-26SEP092145-45,eth-updown-15m-1789003800,B,2026-09-10T01:30:00+00:00,2026-09-10T01:45:00Z,0.63,1.31,0.63,2026-09-10T01:41:55.506305+00:00,down,down,1.0,0.37,2026-09-10T01:48:46.527692+00:00
BTC,KXBTC15M-26SEP092130-30,btc-updown-15m-1789003800,B,2026-09-10T01:30:00+00:00,2026-09-10T01:30:00Z,0.531,1.46,0.531,2026-09-10T01:30:20.309518+00:00,down,down,1.0,0.469,2026-09-10T01:52:17.471468+00:00
BTC,KXBTC15M-26SEP092145-45,btc-updown-15m-1789003800,B,2026-09-10T01:30:00+00:00,2026-09-10T01:45:00Z,0.529,1.472,0.529,2026-09-10T01:41:55.506305+00:00,down,down,1.0,0.471,2026-09-10T01:52:17.471468+00:00
ETH,KXETH15M-26SEP092200-00,eth-updown-15m-1789004700,B,2026-09-10T01:45:00+00:00,2026-09-10T02:00:00Z,0.78,1.21,0.78,2026-09-10T01:47:42.087760+00:00,up,up,1.0,0.22,2026-09-10T02:06:55.463655+00:00
BTC,KXBTC15M-26SEP092230-30,btc-updown-15m-1789007400,B,2026-09-10T02:30:00+00:00,2026-09-10T02:30:00Z,0.451,1.54,0.451,2026-09-10T02:30:23.289563+00:00,down,up,0.0,-0.451,2026-09-10T02:49:29.362409+00:00
ETH,KXETH15M-26SEP092245-45,eth-updown-15m-1789008300,A,2026-09-10T02:45:00+00:00,2026-09-10T02:45:00Z,0.551,0.551,1.41,2026-09-10T02:45:20.799795+00:00,up,up,1.0,0.449,2026-09-10T03:06:00.550312+00:00
BTC,KXBTC15M-26SEP092315-15,btc-updown-15m-1789009200,B,2026-09-10T03:00:00+00:00,2026-09-10T03:15:00Z,0.77,1.23,0.77,2026-09-10T03:02:38.915999+00:00,up,up,1.0,0.23,2026-09-10T03:20:14.321100+00:00
ETH,KXETH15M-26SEP092330-30,eth-updown-15m-1789010100,A,2026-09-10T03:15:00+00:00,2026-09-10T03:30:00Z,0.67,0.67,1.35,2026-09-10T03:23:03.258470+00:00,up,up,1.0,0.33,2026-09-10T03:36:06.718298+00:00
BTC,KXBTC15M-26SEP092345-45,btc-updown-15m-1789011000,A,2026-09-10T03:30:00+00:00,2026-09-10T03:45:00Z,0.79,0.79,1.21,2026-09-10T03:35:00.179530+00:00,down,down,1.0,0.21,2026-09-10T03:51:25.783239+00:00
ETH,KXETH15M-26SEP092345-45,eth-updown-15m-1789011000,A,2026-09-10T03:30:00+00:00,2026-09-10T03:45:00Z,0.7,0.7,1.31,2026-09-10T03:35:00.179530+00:00,up,down,0.0,-0.7,2026-09-10T03:51:31.125422+00:00
ETH,KXETH15M-26SEP100000-00,eth-updown-15m-1789011900,A,2026-09-10T03:45:00+00:00,2026-09-10T04:00:00Z,0.72,0.72,1.27,2026-09-10T03:50:58.248131+00:00,down,down,1.0,0.28,2026-09-10T04:03:03.940068+00:00
BTC,KXBTC15M-26SEP100000-00,btc-updown-15m-1789011900,A,2026-09-10T03:45:00+00:00,2026-09-10T04:00:00Z,0.68,0.68,1.32,2026-09-10T03:50:58.248131+00:00,down,down,1.0,0.32,2026-09-10T04:04:09.888134+00:00
ETH,KXETH15M-26SEP100045-45,eth-updown-15m-1789014600,A,2026-09-10T04:30:00+00:00,2026-09-10T04:45:00Z,0.79,0.79,1.2,2026-09-10T04:35:20.632919+00:00,down,down,1.0,0.21,2026-09-10T04:48:12.918771+00:00
